indicator.label,sex.label,classif1.label,classif2.label,time,obs_value
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,2019,3192.079
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,59.451
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): C. Manufacturing,2019,549.498
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+","Economic activity (ISIC-Rev.4): D. Electricity; gas, steam and air conditioning supply",2019,
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+","Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",2019,27.85
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): F. Construction,2019,284.629
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,2119.406
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): H. Transportation and storage,2019,214.087
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,2019,418.666
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): J. Information and communication,2019,14.025
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): K. Financial and insurance activities,2019,103.502
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): L. Real estate activities,2019,24.218
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+","Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",2019,41.594
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): N. Administrative and support service activities,2019,112.825
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,2019,168.099
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): P. Education,2019,594.573
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): Q. Human health and social work activities,2019,184.491
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+","Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",2019,13.093
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): S. Other service activities,2019,349.192
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,438.91
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): U. Activities of extraterritorial organizations and bodies,2019,
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): X. Not elsewhere classified,2019,
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): Total,2019,8245.102
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,2019,2803.07
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,54.044
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): C. Manufacturing,2019,509.704
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64","Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",2019,26.276
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): F. Construction,2019,256.711
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,2008.255
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): H. Transportation and storage,2019,188.012
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,2019,407.979
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): J. Information and communication,2019,14.025
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): K. Financial and insurance activities,2019,102.141
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): L. Real estate activities,2019,21.164
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64","Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",2019,36.973
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): N. Administrative and support service activities,2019,105.137
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,2019,157.675
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): P. Education,2019,576.568
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): Q. Human health and social work activities,2019,176.799
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64","Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",2019,12.95
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): S. Other service activities,2019,345.549
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,433.334
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): Total,2019,1400.874
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,2019,459.727
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,10.441
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): C. Manufacturing,2019,95.375
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24","Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",2019,4.606
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): F. Construction,2019,59.375
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,289.9
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): H. Transportation and storage,2019,42.405
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,2019,78.223
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): J. Information and communication,2019,4.46
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): K. Financial and insurance activities,2019,22.452
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): L. Real estate activities,2019,
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24","Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",2019,8.324
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): N. Administrative and support service activities,2019,25.636
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,2019,17.887
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): P. Education,2019,79.198
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): Q. Human health and social work activities,2019,25.449
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24","Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",2019,
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): S. Other service activities,2019,62.562
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,111.67
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): X. Not elsewhere classified,2019,
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): Total,2019,7518.559
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,2019,2732.352
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,49.01
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): C. Manufacturing,2019,454.123
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+","Economic activity (ISIC-Rev.4): D. Electricity; gas, steam and air conditioning supply",2019,
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+","Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",2019,23.244
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): F. Construction,2019,225.254
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,1829.506
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): H. Transportation and storage,2019,171.682
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,2019,340.443
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): J. Information and communication,2019,9.566
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): K. Financial and insurance activities,2019,81.05
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): L. Real estate activities,2019,23.802
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+","Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",2019,33.27
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): N. Administrative and support service activities,2019,87.189
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,2019,150.211
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): P. Education,2019,515.375
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): Q. Human health and social work activities,2019,159.041
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+","Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",2019,12.371
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): S. Other service activities,2019,286.629
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,327.24
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): U. Activities of extraterritorial organizations and bodies,2019,
"Employment by sex, age and economic activity (thousands)",Sex: Female,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): X. Not elsewhere classified,2019,
