indicator.label,sex,sex.label,classif1,classif1.label,classif2.label,time,obs_value
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2005,4800.161
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2005,1035.006
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2005,2285.077
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2005,1328.126
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2005,104.749
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2005,47.203
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2005,5197.257
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2005,1646.657
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2005,2540.944
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2005,928.71
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2005,37.725
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2005,43.22
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2005,4897.772
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2005,1366.007
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2005,2527.381
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2005,927.796
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2005,36.549
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2005,40.04
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2005,1082.006
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2005,186.125
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2005,704.721
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2005,177.834
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2005,5.057
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2005,8.27
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2005,4115.252
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2005,1460.532
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2005,1836.224
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2005,750.877
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2005,32.669
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2005,34.95
